std_train_score,split4_test_score,split0_train_score,rank_test_score,split2_train_score,std_score_time,split4_train_score,split2_test_score,param_solver,mean_fit_time,split3_train_score,param_C,mean_score_time,std_test_score,split1_train_score,split0_test_score,mean_test_score,params,std_fit_time,param_max_iter,split3_test_score,mean_train_score,split1_test_score
0.0,0.5,1.0,1,1.0,0.007770976431764649,1.0,0.5,liblinear,0.14455938339233398,1.0,10,0.01138768196105957,0.0,1.0,0.5,0.5,"{'C': 10, 'max_iter': 3000, 'solver': 'liblinear'}",0.020035924194715452,3000,0.5,1.0,0.5
0.0,0.5,1.0,1,1.0,0.0013908639948419777,1.0,0.5,saga,24.24243402481079,1.0,10,0.009001541137695312,0.0,1.0,0.5,0.5,"{'C': 10, 'max_iter': 3000, 'solver': 'saga'}",1.3407375539148383,3000,0.5,1.0,0.5
0.0,0.5,1.0,1,1.0,0.007161622453491243,1.0,0.5,liblinear,0.15424041748046874,1.0,100,0.012108898162841797,0.0,1.0,0.5,0.5,"{'C': 100, 'max_iter': 1000, 'solver': 'liblinear'}",0.018587779147891604,1000,0.5,1.0,0.5
0.0,0.5,1.0,1,1.0,0.009880650792981687,1.0,0.5,saga,19.83581566810608,1.0,100,0.011262607574462891,0.0,1.0,0.5,0.5,"{'C': 100, 'max_iter': 1000, 'solver': 'saga'}",0.050750130394591246,1000,0.5,1.0,0.5
0.0,0.5,1.0,1,1.0,0.007937903113210888,1.0,0.5,liblinear,0.16377930641174315,1.0,100,0.0076675891876220705,0.0,1.0,0.5,0.5,"{'C': 100, 'max_iter': 2000, 'solver': 'liblinear'}",0.008475372798788254,2000,0.5,1.0,0.5
0.0,0.5,1.0,1,1.0,0.00969085914753393,1.0,0.5,saga,28.628478956222533,1.0,100,0.014845037460327148,0.0,1.0,0.5,0.5,"{'C': 100, 'max_iter': 2000, 'solver': 'saga'}",1.3618372003215302,2000,0.5,1.0,0.5
0.0,0.5,1.0,1,1.0,0.0022431497918956986,1.0,0.5,liblinear,0.14656562805175782,1.0,100,0.010750007629394532,0.0,1.0,0.5,0.5,"{'C': 100, 'max_iter': 3000, 'solver': 'liblinear'}",0.010975413416584102,3000,0.5,1.0,0.5
0.0,0.5,1.0,1,1.0,0.011894602306244064,1.0,0.5,saga,28.64967784881592,1.0,100,0.017581748962402343,0.0,1.0,0.5,0.5,"{'C': 100, 'max_iter': 3000, 'solver': 'saga'}",1.316037041165232,3000,0.5,1.0,0.5
0.0,0.5,1.0,1,1.0,0.007185940163452305,1.0,0.5,liblinear,0.15989556312561035,1.0,100000.0,0.011808156967163086,0.0,1.0,0.5,0.5,"{'C': 100000.0, 'max_iter': 1000, 'solver': 'liblinear'}",0.024947759874959084,1000,0.5,1.0,0.5
0.0,0.5,1.0,1,1.0,0.00263692368215564,1.0,0.5,saga,19.785038805007936,1.0,100000.0,0.008896827697753906,0.0,1.0,0.5,0.5,"{'C': 100000.0, 'max_iter': 1000, 'solver': 'saga'}",0.020717581158650727,1000,0.5,1.0,0.5
0.0,0.5,1.0,1,1.0,0.003068855870489296,1.0,0.5,liblinear,0.1591362476348877,1.0,100000.0,0.008003759384155273,0.0,1.0,0.5,0.5,"{'C': 100000.0, 'max_iter': 2000, 'solver': 'liblinear'}",0.020687089309176808,2000,0.5,1.0,0.5
0.0,0.5,1.0,1,1.0,0.0013629414480285198,1.0,0.5,saga,29.177729511260985,1.0,100000.0,0.006175041198730469,0.0,1.0,0.5,0.5,"{'C': 100000.0, 'max_iter': 2000, 'solver': 'saga'}",1.397734876523017,2000,0.5,1.0,0.5
0.0,0.5,1.0,1,1.0,0.0077679839705952075,1.0,0.5,liblinear,0.1491058349609375,1.0,100000.0,0.01147303581237793,0.0,1.0,0.5,0.5,"{'C': 100000.0, 'max_iter': 3000, 'solver': 'liblinear'}",0.024226727625980635,3000,0.5,1.0,0.5
0.0,0.5,1.0,1,1.0,0.003795678708024072,1.0,0.5,saga,29.22278051376343,1.0,100000.0,0.005401611328125,0.0,1.0,0.5,0.5,"{'C': 100000.0, 'max_iter': 3000, 'solver': 'saga'}",1.3927326230871773,3000,0.5,1.0,0.5
