rank_test_score,split0_train_score,split2_test_score,mean_fit_time,split3_train_score,std_test_score,param_epochs,std_fit_time,std_score_time,params,param_batch_size,param_neurons,std_train_score,split4_test_score,split1_train_score,split2_train_score,split4_train_score,mean_score_time,mean_train_score,split0_test_score,mean_test_score,split3_test_score,param_dropout_rate,split1_test_score
28,1.0,0.5104166666666667,2.7801411151885986,1.0,0.04413935236799914,10,0.12483178839414827,0.09726058480646566,"{'epochs': 10, 'dropout_rate': 0.4, 'neurons': 168, 'batch_size': 40}",40,168,0.0,0.546875,1.0,1.0,1.0,0.9732500076293945,1.0,0.4296875,0.4944937664816293,0.5288018433179724,0.4,0.4573770491803279
50,1.0,0.5677083333333333,4.308086204528808,1.0,0.07265429556226174,50,0.10407059121139875,0.039089874986816285,"{'epochs': 50, 'dropout_rate': 0.4, 'neurons': 88, 'batch_size': 40}",40,88,0.0,0.53125,1.0,1.0,1.0,1.1391842365264893,1.0,0.3567708333333333,0.48260251308447594,0.5,0.4,0.4579234972677596
33,1.0,0.546875,4.529659795761108,1.0,0.06661176729905006,50,0.21722113730897452,0.16270961647452123,"{'epochs': 50, 'dropout_rate': 0.4, 'neurons': 128, 'batch_size': 40}",40,128,0.0,0.5170454545454546,1.0,1.0,1.0,1.1420268535614013,1.0,0.4296875,0.49226267863540274,0.5691244239631337,0.4,0.3989071038251366
42,1.0,0.5208333333333333,4.988846063613892,1.0,0.03278640463330176,50,0.2732596999253989,0.07191036590364867,"{'epochs': 50, 'dropout_rate': 0.4, 'neurons': 168, 'batch_size': 40}",40,168,0.0,0.5078125,1.0,1.0,1.0,1.260352373123169,1.0,0.4270833333333333,0.48706489406160697,0.4804147465437788,0.4,0.4994535519125683
38,1.0,0.4973958333333333,3.602752208709717,1.0,0.03391079529922704,10,0.074882791679585,0.02266813955134196,"{'epochs': 10, 'dropout_rate': 0.2, 'neurons': 88, 'batch_size': 60}",60,88,0.0,0.515625,1.0,1.0,1.0,1.3426740646362305,1.0,0.4244791666666667,0.49049397501333686,0.5,0.2,0.5153005464480874
1,1.0,0.5234375,3.7051063537597657,1.0,0.02551934440747696,10,0.07787475166870797,0.03496473582643622,"{'epochs': 10, 'dropout_rate': 0.2, 'neurons': 128, 'batch_size': 60}",60,128,0.0,0.5390625,1.0,1.0,1.0,1.4022680282592774,1.0,0.5703125,0.5312449064087306,0.532258064516129,0.2,0.49125683060109293
45,1.0,0.5390625,3.9085994243621824,1.0,0.05973774840074771,10,0.038263045677826894,0.019720124228284987,"{'epochs': 10, 'dropout_rate': 0.2, 'neurons': 168, 'batch_size': 60}",60,168,0.0,0.515625,1.0,1.0,1.0,1.50098614692688,1.0,0.3802083333333333,0.4849347151158545,0.532258064516129,0.2,0.4579234972677596
51,1.0,0.4635416666666667,5.321396923065185,1.0,0.02994638131976347,50,0.32751127640686245,0.04972164513191213,"{'epochs': 50, 'dropout_rate': 0.2, 'neurons': 88, 'batch_size': 60}",60,88,0.0,0.5078125,1.0,1.0,1.0,1.6061176300048827,1.0,0.4322916666666667,0.4822748655913978,0.5080645161290323,0.2,0.5
39,1.0,0.5130208333333333,5.461316394805908,1.0,0.03823590394072948,50,0.203024495206232,0.07881345265093553,"{'epochs': 50, 'dropout_rate': 0.2, 'neurons': 128, 'batch_size': 60}",60,128,0.0,0.5390625,1.0,1.0,1.0,1.776816177368164,1.0,0.4244791666666667,0.48951643103696635,0.4804147465437788,0.2,0.49125683060109293
14,1.0,0.5546875,5.7160650253295895,1.0,0.06125995946693166,50,0.1790567921281585,0.08995336292054021,"{'epochs': 50, 'dropout_rate': 0.2, 'neurons': 168, 'batch_size': 60}",60,168,0.0,0.546875,1.0,1.0,1.0,1.7932095050811767,1.0,0.3880208333333333,0.5074338860719224,0.532258064516129,0.2,0.5158469945355191
6,1.0,0.5234375,4.628851413726807,1.0,0.024327826308604795,10,0.11988145890492455,0.05386942361973984,"{'epochs': 10, 'dropout_rate': 0.3, 'neurons': 88, 'batch_size': 60}",60,88,0.0,0.5625,1.0,1.0,1.0,1.8594093322753906,1.0,0.5,0.5170679419525066,0.5,0.3,0.5
35,1.0,0.5052083333333333,4.877732038497925,1.0,0.0654642109979268,10,0.14320237616201115,0.043532478993494786,"{'epochs': 10, 'dropout_rate': 0.3, 'neurons': 128, 'batch_size': 60}",60,128,0.0,0.515625,1.0,1.0,1.0,1.9446224212646483,1.0,0.3802083333333333,0.49124588762815297,0.5806451612903226,0.3,0.4748633879781421
30,1.0,0.4739583333333333,5.027158451080322,1.0,0.04817777272792307,10,0.11686554258309718,0.03159454873728014,"{'epochs': 10, 'dropout_rate': 0.3, 'neurons': 168, 'batch_size': 60}",60,168,0.0,0.5234375,1.0,1.0,1.0,1.9965691566467285,1.0,0.4140625,0.493393636832015,0.5564516129032258,0.3,0.4994535519125683
34,1.0,0.53125,6.648093032836914,1.0,0.04776634456256921,50,0.42973324363186477,0.054860161338232905,"{'epochs': 50, 'dropout_rate': 0.3, 'neurons': 88, 'batch_size': 60}",60,88,0.0,0.5078125,1.0,1.0,1.0,2.13747239112854,1.0,0.4375,0.4916139582801374,0.5483870967741935,0.3,0.43333333333333335
40,1.0,0.46875,6.564213275909424,1.0,0.06078469798724385,50,0.1705458954817767,0.10814820420123279,"{'epochs': 50, 'dropout_rate': 0.3, 'neurons': 128, 'batch_size': 60}",60,128,0.0,0.5546875,1.0,1.0,1.0,2.254998207092285,1.0,0.3880208333333333,0.4884066846812216,0.5483870967741935,0.3,0.4830601092896175
4,1.0,0.53125,7.307545185089111,1.0,0.01279710970571938,50,0.18278429151532616,0.06178498031849744,"{'epochs': 50, 'dropout_rate': 0.3, 'neurons': 168, 'batch_size': 60}",60,168,0.0,0.5234375,1.0,1.0,1.0,2.48284707069397,1.0,0.4973958333333333,0.5200287079716585,0.532258064516129,0.3,0.5158469945355191
48,1.0,0.4895833333333333,5.808595085144043,1.0,0.050020202128428254,10,0.21555596898848228,0.18675051134111256,"{'epochs': 10, 'dropout_rate': 0.4, 'neurons': 88, 'batch_size': 60}",60,88,0.0,0.5014204545454546,1.0,1.0,1.0,2.4185951709747315,1.0,0.390625,0.48434533919069833,0.5403225806451613,0.4,0.5
17,1.0,0.4973958333333333,5.985875844955444,1.0,0.02610751941093955,10,0.23992604508261836,0.23707076860966558,"{'epochs': 10, 'dropout_rate': 0.4, 'neurons': 128, 'batch_size': 60}",60,128,0.0,0.53125,1.0,1.0,1.0,2.4919741630554197,1.0,0.5104166666666667,0.5040550538657633,0.5241935483870968,0.4,0.4573770491803279
18,1.0,0.5364583333333333,6.190119075775146,1.0,0.03579204018613403,10,0.1052042494263603,0.08332948618902866,"{'epochs': 10, 'dropout_rate': 0.4, 'neurons': 168, 'batch_size': 60}",60,168,0.0,0.5078125,1.0,1.0,1.0,2.5414705753326414,1.0,0.4661458333333333,0.5028716203337251,0.5460829493087558,0.4,0.4579234972677596
49,1.0,0.53125,7.904277229309082,1.0,0.052605769380172446,50,0.15128530429967627,0.24731068370814624,"{'epochs': 50, 'dropout_rate': 0.4, 'neurons': 88, 'batch_size': 60}",60,88,0.0,0.515625,1.0,1.0,1.0,2.740513038635254,1.0,0.3880208333333333,0.48323448902987676,0.5161290322580645,0.4,0.4655737704918033
25,1.0,0.4817708333333333,8.265565633773804,1.0,0.030455394746392674,50,0.5702858360355336,0.1692886229124886,"{'epochs': 50, 'dropout_rate': 0.4, 'neurons': 128, 'batch_size': 60}",60,128,0.0,0.53125,1.0,1.0,1.0,2.810332918167114,1.0,0.4453125,0.49572063377227643,0.5207373271889401,0.4,0.5
15,1.0,0.546875,8.411400842666627,1.0,0.039587727325333756,50,0.31872848958879174,0.20426995085501246,"{'epochs': 50, 'dropout_rate': 0.4, 'neurons': 168, 'batch_size': 60}",60,168,0.0,0.5546875,1.0,1.0,1.0,2.900461483001709,1.0,0.46875,0.5069158084666664,0.5080645161290323,0.4,0.45683060109289614
36,1.0,0.515625,7.164378976821899,1.0,0.032400788239442056,10,0.16043311677850966,0.09132097994445684,"{'epochs': 10, 'dropout_rate': 0.2, 'neurons': 88, 'batch_size': 80}",80,88,0.0,0.5234375,1.0,1.0,1.0,3.0645236015319823,1.0,0.4322916666666667,0.4907969590308116,0.5,0.2,0.4830601092896175
13,1.0,0.5390625,7.440696382522583,1.0,0.024858485672166957,10,0.11320604589299517,0.03208598091856387,"{'epochs': 10, 'dropout_rate': 0.2, 'neurons': 128, 'batch_size': 80}",80,128,0.0,0.5234375,1.0,1.0,1.0,3.148781585693359,1.0,0.4661458333333333,0.5089697822498089,0.5,0.2,0.5163934426229508
43,1.0,0.5234375,8.121878004074096,1.0,0.025432563840426973,10,0.3424230450187792,0.08267306349571696,"{'epochs': 10, 'dropout_rate': 0.2, 'neurons': 168, 'batch_size': 80}",80,168,0.0,0.47017045454545453,1.0,1.0,1.0,3.3827911853790282,1.0,0.4557291666666667,0.486726989639598,0.5092165898617511,0.2,0.4748633879781421
31,1.0,0.5390625,9.091608381271362,1.0,0.04965661274144142,50,0.23514900334914116,0.17382317663461305,"{'epochs': 50, 'dropout_rate': 0.2, 'neurons': 88, 'batch_size': 80}",80,88,0.0,0.5390625,1.0,1.0,1.0,3.2748502254486085,1.0,0.40625,0.4933402591349479,0.5080645161290323,0.2,0.4748633879781421
46,1.0,0.5130208333333333,9.464440536499023,1.0,0.040177728752296346,50,0.37224768489451554,0.5872956369040184,"{'epochs': 50, 'dropout_rate': 0.2, 'neurons': 128, 'batch_size': 80}",80,128,0.0,0.5078125,1.0,1.0,1.0,3.635869598388672,1.0,0.40625,0.48469101745683135,0.48847926267281105,0.2,0.5081967213114754
24,1.0,0.5390625,9.748869562149048,1.0,0.032416730668250814,50,0.5879370222303018,0.2581787673924453,"{'epochs': 50, 'dropout_rate': 0.2, 'neurons': 168, 'batch_size': 80}",80,168,0.0,0.515625,1.0,1.0,1.0,4.029890441894532,1.0,0.4479166666666667,0.49647052755465626,0.47235023041474655,0.2,0.5076502732240438
11,1.0,0.5234375,8.963415384292603,1.0,0.007945435631091995,10,0.43846224848380644,0.17621476796004187,"{'epochs': 10, 'dropout_rate': 0.3, 'neurons': 88, 'batch_size': 80}",80,88,0.0,0.515625,1.0,1.0,1.0,3.672034978866577,1.0,0.5078125,0.5110021789437259,0.5,0.3,0.5081967213114754
10,1.0,0.5625,8.689322805404663,1.0,0.03231552586563525,10,0.34933164191397453,0.19904381481957148,"{'epochs': 10, 'dropout_rate': 0.3, 'neurons': 128, 'batch_size': 80}",80,128,0.0,0.5078125,1.0,1.0,1.0,3.8325000286102293,1.0,0.4635416666666667,0.5116195615938945,0.5241935483870968,0.3,0.5
27,1.0,0.5390625,8.420287704467773,1.0,0.03553336729912027,10,0.24163537931282192,0.3058066139377129,"{'epochs': 10, 'dropout_rate': 0.3, 'neurons': 168, 'batch_size': 80}",80,168,0.0,0.47017045454545453,1.0,1.0,1.0,3.759242582321167,1.0,0.4479166666666667,0.4945577360601914,0.532258064516129,0.3,0.4830601092896175
2,1.0,0.6197916666666667,10.098473834991456,1.0,0.06823121992928619,50,0.3756171453444667,0.07531045818579374,"{'epochs': 50, 'dropout_rate': 0.3, 'neurons': 88, 'batch_size': 80}",80,88,0.0,0.5625,1.0,1.0,1.0,4.048758411407471,1.0,0.4140625,0.5224176008236022,0.5080645161290323,0.3,0.5081967213114754
21,1.0,0.5052083333333333,10.489738607406617,1.0,0.025845170150614334,50,0.3154169391308305,0.07640460489605432,"{'epochs': 50, 'dropout_rate': 0.3, 'neurons': 128, 'batch_size': 80}",80,128,0.0,0.47798295454545453,1.0,1.0,1.0,4.030811071395874,1.0,0.4609375,0.49861034160108836,0.532258064516129,0.3,0.5163934426229508
5,1.0,0.5625,10.8768310546875,1.0,0.03102154277446348,50,0.3234882976258631,0.246192015301193,"{'epochs': 50, 'dropout_rate': 0.3, 'neurons': 168, 'batch_size': 80}",80,168,0.0,0.515625,1.0,1.0,1.0,4.186579418182373,1.0,0.53125,0.5184415517632707,0.5161290322580645,0.3,0.4666666666666667
23,1.0,0.5078125,9.69287281036377,1.0,0.02568941455648999,10,0.6078296904391746,0.24142004267600461,"{'epochs': 10, 'dropout_rate': 0.4, 'neurons': 88, 'batch_size': 80}",80,88,0.0,0.4950284090909091,1.0,1.0,1.0,4.359768629074097,1.0,0.4895833333333333,0.4974491903046797,0.5368663594470047,0.4,0.4579234972677596
8,1.0,0.5286458333333333,10.372394847869874,1.0,0.04740726369130516,10,0.1660363981327573,0.15953222884739637,"{'epochs': 10, 'dropout_rate': 0.4, 'neurons': 128, 'batch_size': 80}",80,128,0.0,0.5234375,1.0,1.0,1.0,4.444537353515625,1.0,0.4479166666666667,0.5143299902107702,0.5887096774193549,0.4,0.4830601092896175
52,1.0,0.5234375,10.712801599502564,1.0,0.02961903329572245,10,0.14356578469999473,0.10959743304667334,"{'epochs': 10, 'dropout_rate': 0.4, 'neurons': 168, 'batch_size': 80}",80,168,0.0,0.46235795454545453,1.0,1.0,1.0,4.691010046005249,1.0,0.4375,0.4822716171649927,0.4965437788018433,0.4,0.49125683060109293
29,1.0,0.53125,12.17126989364624,1.0,0.041293232406805776,50,0.26158902616327356,0.14406742779406337,"{'epochs': 50, 'dropout_rate': 0.4, 'neurons': 88, 'batch_size': 80}",80,88,0.0,0.5078125,1.0,1.0,1.0,4.938109827041626,1.0,0.4140625,0.49386698981357324,0.5,0.4,0.5163934426229508
22,1.0,0.53125,12.262407159805297,1.0,0.04683817408810034,50,0.28357463488766926,0.17539643796104537,"{'epochs': 50, 'dropout_rate': 0.4, 'neurons': 128, 'batch_size': 80}",80,128,0.0,0.5234375,1.0,1.0,1.0,5.028200387954712,1.0,0.40625,0.4984906146238699,0.5241935483870968,0.4,0.5076502732240438
3,1.0,0.5234375,13.35714259147644,1.0,0.020750103764138075,50,0.5864896730045148,0.13170633356002018,"{'epochs': 50, 'dropout_rate': 0.4, 'neurons': 168, 'batch_size': 80}",80,168,0.0,0.5234375,1.0,1.0,1.0,5.0955870151519775,1.0,0.5390625,0.5218598863721456,0.5403225806451613,0.4,0.4830601092896175
